"
בלובירד
",ג’נבייב גרהאם,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יום אחד הוא פשוט מופיע במקום העבודה שלה. גבר יפה, מלוכלך ומאובק, מחזיק חבילה בידו. קייסי פותחת את הצרור כמעט בחוסר עניין, ונדהמת. כאוצרת במוזיאון, היא בקושי מצליחה להסתיר את התרגשותה. הגבר היפה הביא איתו אוצר: בקבוק ויסקי עתיק ונדיר, שמצא טמון בקיר הבית שהוא משפץ. 

1918.
המלחמה הגדולה עדיין מתחוללת. אדל סוואר, אחות צעירה בבית חולים שדה בבלגיה, מטפלת בעדינות אין קץ בג’רי, החולה המיוחד שלה. משהו בו מרגש אותה. האם זאת העובדה שגילתה שאי אז, בקנדה הרחוקה, הם היו כמעט שכנים? לחרדתה, ג’רי הולך ונרפא ובעוד רגע ישוב לחזית. ואז? מה יהיה אז?

שנים יחלפו עד שהקצוות הפרומים ישובו ויתחברו, עד שג’רי ואדל ייפגשו שוב, באקראי, והפעם הוא יהיה זה שיציל אותה. תקופה ארוכה תחלוף גם עד שקייסי והגבר עם בקבוק הוויסקי יגלו מה קרה בבית ההוא, לפני מאה שנים, וכיצד הם קשורים לסיפור האהבה של האחות והפצוע שטיפלה בו.
”בלובירד” הוא ספר שכולו סודות, חלקם עתיקים, חבויים עשרות שנים בתוך קירות בית נטוש, וחלקם אינם מדוברים, גם בין אוהבים. על כולם מרחפים מוראות המלחמה, לצד הרצון הטבעי, הפשוט כל כך, לשוב ולחיות. 

בלובירד הוא ספרה העשירי של ג’נבייב גרהאם, שהיה לרב מכר בינלאומי מיד עם צאתו לאור.
"
"
מלוכלך כמונו 2 משחקים מלוכלכים 2
",ג’יין דיימונד,84.00 ₪,59.90 ₪,Not Available,33.00 ₪,26.40 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 אירוטי/אופל 
","
מה שקורה בווגאס... מוטב שיישאר בווגאס.
מגי אומורה מעולם לא הייתה טיפוס מהמר. כעוזרת המנהל של דירטי, להקת הרוק הלוהטת ביותר על הפלנטה, היא מביאה סדר לחייהם של ארבעה כוכבי רוק משוגעים.
אבל כשהלהקה נוחתת בווגאס, רצף של אירועים חסרי מזל מאלצים אותה לחלוק את סוויטת הפנטהאוז במלון עם הבחור האחרון שהיא רוצה בתור שותף לחדר. 
זאין טריינור. סולן להקת דירטי.
אליל רוק. אליל סקס. טעות שמחכה לקרות.
והיחיד שמסוגל להציע למגי הצעה כל כך מטורפת, עד שהיא עשויה להסכים לה.
פיתוי שקשה לעמוד בפניו.
סיכון שעלול לעלות להם ביוקר.
אבל הגיע הזמן שזאין ומגי יהמרו על הכול.

מלוכלך כמונו היא נובלה בסדרת ”משחקים מלוכלכים” המביאה את סיפורם של זאין טריינור ומגי אומורה. סיפור האהבה המלא בין שניהם יופיע בספר השישי בסדרה.
"
"
ציידים
",תהילה יעקובוב,98.00 ₪,59.90 ₪,Not Available,38.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי/ פשע-מאפיה 
","
אווה ורגרה
”זה הדבר היחיד שיש בתוכך? רוע, ריקבון! אתה לא שווה שאקשיב למילים הדוחות שלך. אתה לא מכיר אותי! ולא את מה שעברתי בחיי. מי אתה שתשפוט אותי או שתדבר אליי בצורה הזאת?”
איבדתי את החשק לחלום. הסיוטים שלי הם המציאות שמכה בי פעם אחר פעם. הנשימות שלי ופעימות ליבי אינן הוכחה לכך שאני באמת חיה. היתקלות לוהטת עם עוז גורמת לי להאמין שאני יכולה לחוות רגש שוב. אני מהופנטת מהמבט שלו, אך משהו בו מפחיד אותי – אין בו התנצלות, רק רעב לנקמה. הוא מתאכזר אליי בכוונה ודוחף אל הקצה, וכאשר אין לי יותר מה להפסיד אני נאחזת בחלומות ישנים, שמפיחים בי חיים.

עוז רדימו
”את יכולה לשחרר את השדים שלך, אווה, תשלחי אותם אליי. שלי גרועים יותר ואני חי איתם מעולה.”
אווה ורגרה היא בתו היחידה של ראש ארגון פשע קולומביאני, שסוחר בבני אדם, נשק וסמים. אווה היא האויב ואויבים צריך לצוד ולהשמיד. אגרום לה ליפול וארסק את נפשה הפצועה לרסיסים. אני תמיד מצליח לעמוד במשימות שלי, אך הפעם הכול יצא משליטה – היא הצליחה לחדור לתוכי, לנשמה האבודה שלי. 


ציידים הוא רומן פשע רומנטי על דמות משנה מדואט יין ויאנג, אך יכול להיקרא כספר בודד ואינו תלוי בעלילת הספרים חושך ואור.
תהילה יעקובוב היא סופרת בז’אנר הרומנטי, ספרה טורף יצא גם הוא בהוצאת דיווה וזכה באהבת הקהל.
"
"
איך לצאת עם דושבג 3 רט ראבידו
",שרה ניי,98.00 ₪,59.90 ₪,Not Available,48.00 ₪,38.40 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
החברים שלי רוצים שאני א*יין
הם כל כך רוצים את זה, שהם הדפיסו את הפרצוף שלי בכל רחבי הקמפוס עם הכיתוב:
הוא: גבר עם קשיים חברתיים ו*ין בגודל ממוצע
שמחפש שותפה מעוניינת למין.
את: צריכה להיות בעלת דופק.
הוא יגמול לך במין אוראלי.
האם את הגברת בת המזל שעומדת
לגעול את השותף שלי מבתוליו?
סמסי לו: 555-254-5551
אלוהים. המטומטמים אפילו לא אייתו נכון את המילה ”לגאול”. וההודעות שאני מקבל עשויות מהחומר שממנו עשויים חלומות רטובים. אבל אני לא כמו הדושבגים האלה, לא משנה כמה הם ינסו להפוך אותי לכזה. 
ויש עוד משהו שהם פשוט לא קולטים: בנות לא באמת מעוניינות בי!
"
"
סיכוי מעולה 2 הסיכויים 2
",קנדי ריאן,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
הוא מביא את ידי אל חזהו. ליבו מתחת לכף ידי פועם במהירות ובכבדות. ”תרגישי,” הוא אומר, ”גם הלב שלי דוהר. זה עלול להיות הלילה האחרון שלנו יחד, באנר.” 


באנר מוראלס
ג’ארד כבר שבר את ליבי פעם אחת, ואהיה ארורה אם אי פעם אתן לזה לקרות שנית. הבחורה שהוא הכיר בקולג’ כבר מזמן נעלמה, ויש לו טעות אם הוא חושב שהיא אי פעם תחזור. היינו אויבים מאז מה שקרה, והיום אנחנו גם אויבים מקצועיים. שנינו עוסקים באותו התחום ומתחרים זה בזה, אבל אני מתעלה עליו בהרבה, והוא יבין את זה בקרוב.

ג’ארד פוסטר
באנר כבר שברה את ליבי פעם אחת ונראה שאין לה בעיה לעשות את זה שוב, אך נראה שהיא לא מבינה שהכעס שלה רק מדרבן אותי. כשעיניה יורקות אש כל מה שאני יכול לדמיין זה אותנו במיטה שוב, ואעשה הכול כדי שהיא תבין שאין אף אחד בעולם הזה שמתאים לה יותר ממני. אש בוערת בינינו. אני יודע ששנינו יכולים להיכוות, אבל לא משנה מה אני עושה, אני לא מצליח להתרחק.

סיכוי מעולה מאת סופרת רבי המכר קנדי ריאן הוא רומן עכשווי סיפור על הזדמנות שנייה לאהבה בין אוהבים שהפכו לאויבים. 
זה הספר השני בסדרת הסיכויים. הספרים האחרים בסדרה, סיכוי קלוש וסיכוי שווה, ראו אור בהוצאת אדל. כל ספר בסדרה יכול להיקרא כספר בודד.
סדרה נוספת שיצא בהוצאת אדל וזכתה להצלחה רבה, סדרת היכל התהילה: זרימה, אחיזה ועדיין.
"
"
עדיין לא בקטע שלך 2 עדיין לא 2
",ניקול סנואו,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
מבט אחד במכוניתי הרוסה והבנתי שיש לי בעיה רצינית. אחייניתי התינוקת נעדרת, יש לי עסק עם פסיכופת, ועכשיו הבוס שלי מחליט שאני צריכה הגנה ומאלץ אותי לסבול את נוכחותו של גייב בארין בתור שומר הראש האישי שלי.
אין סיכוי. אין מצב. זה לא יקרה. ואם הוא יקרא לי ’מותק’ עוד פעם אחת...
גייב בארין הארור לוחץ לי על כפתורים שבכלל לא ידעתי שיש לי. הוא הגבר האחרון בעולם שאני רוצה בחיי. הוא מעצבן בטירוף, גדול כמו הר, נוהם כמו דוב ולגמרי זכר אלפא.
הבוס שלי מסרב להבין זה שאני אולי באה באריזה קטנה, אבל אני ילדה גדולה בעלת טפרים חדים ובהחלט מסוגלת לטפל בעצמי בכל מצב. 
הבעיה היא שאני לא בטוחה שאני מסוגלת להתמודד עם האיום שמציב בפניי גייב עם הנחמדות שלו, הנימוס שלו והקסם הדרומי שהוא מפזר בנדיבות רבה מדי לכל עבר. אני במרדף אחר חוטף, וגייב רק מפריע.

עדיין לא בקטע שלך מאת סופרת רבי המכר של ’וול סטריט ג’ורנל’ ו’יו־אס־איי טודיי’ ניקול סנואו, הוא רומן עכשוי על בחורה שחושבת שאינה ראויה לאהבה ועל גבר שנחוש להעניק לה אותה. 
זה הספר השני בסדרת עדיין לא. הספר הראשון, עדיין לא התגברתי עליך, גם הוא ראה אור בהוצאת אדל. שני הספרים נכתבו על דמויות שונות ואפשר לקרוא אותם כספרים יחידים.
"
"
להרוס אותך 4 רבל אינק 4
",טרייסי לוריין,98.00 ₪,59.90 ₪,Not Available,37.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 אירוטי/אופל 
","
שנאתי לשחק בה…
אבל הבגידה שלה לא השאירה לי ברירה.
אהבה בלתי אפשרית – זה אפילו לא מתחיל לתאר את מה שקרה לפני שבע־עשרה שנה כשהתאהבתי בבחורה היחידה שאסור היה לי.
האסורה. בת היריב שלנו. האויבת שלי.
פייפר קולינס.
היא הייתה מושלמת, למרות שם המשפחה שלה. טובה מכדי להיות אמיתית… חבל מאוד שהיא הייתה מלשנית.
נשתלה במיוחד כדי להסתנן למועדון שלנו.
אני מניח שלקרוע לי את הלב היה רק בונוס.
וכשהאמת התגלתה, היא והמשפחה שלה טופלו בדרך היחידה שאבא שלי הכיר.
קברתי את הרגשות שלי, כי ידעתי שלעולם לא אראה אותה שוב.
אבל עכשיו כשאני מנסה ליצור מסלול חדש עבור הבת שלי, אני מוצא את עצמי חוזר היישר לתוך העבר שלי, ופנים אל פנים איתה.
היא שיחקה בי, וזה הזמן לשלם.
כי עכשיו גם אני יכול לשחק במשחק הזה.
והיא כלי המשחק המושלם.
להרוס אותך הוא הספר הרביעי בסדרת ’רבל אינק’ אשר מביאה את סיפורם של הבחורים במכון הקעקועים ’רבל אינק’.
כל ספר מתאר זוג אחר ויכול להיקרא בנפרד.
"
"
אתם אדירים
",ניר פסריצ’ה,98.00 ₪,88.20 ₪,Not Available,49.00 ₪,39.20 ₪,Not Available,"
 תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
 תת תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
ספר שנחל הצלחה אדירה מיידית והפך לרב־מכר! 
ניל פסריצ’ה, מחבר רבי־המכר של הניו יורק טיימס, מוביל הדעה של הדור הבא ואחד מדוברי TED הפופולריים ביותר בעולם, חוזר עם ספר מהפכני ומעורר השראה.

מדוע החיים הולכים והופכים קשים – לא קלים יותר?
כיצד מתחזקים ומנהלים חיים חדורי כוונה?
כיצד אפשר לקום אחרי שהחיים הפילו אותי לקרשים?


אין לנו יותר כלים להתמודדות עם כישלון… או אפילו עם מה שרק נתפס ככישלון. כשאנחנו נופלים, אנחנו נותרים שכובים על שפת המדרכה וממררים בבכי. כשאנחנו נשפכים, אנחנו ניתזים לכל עבר. כשאנחנו נסדקים, אנחנו מתנפצים. אנחנו הופכים לצבא בובות חרסינה שבריריות.

הטלפונים הניידים שלנו משדרים לנו שאנחנו אף פעם לא מספיק טובים. הפרפרים בבטן של אתמול הם התקפי החרדה של מחר. מספר האנשים הסובלים מחרדות, מדיכאונות ומבדידות הגיע לממדים אדירים. מה אנחנו צריכים לפתח בעצמנו? חוסן נפשי. ואנחנו צריכים לעשות את זה כמה שיותר מהר.


כי האמת היא שאתם באמת אדירים!
"
"
עושים בית ספר
",קובי זמיר ומיכל מולדבסקי,98.00 ₪,88.20 ₪,Not Available,48.00 ₪,38.40 ₪,Not Available,"
 תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
 תת תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
מחסור חמור בכוח אדם, משכורות נמוכות, משבר אמון, חוסר התאמה לעידן שבו אנו חיים. כל אלה ועוד הם מנת חלקה של מערכת החינוך הישראלית, שהולכת ודועכת. אבל במקום להמתין בכל פעם לרפורמה הבאה או לתרופת פלא שתגאל את כולנו, הגיע הזמן שניקח את המושכות לידיים. הספר עושים בית ספר מציע לעוסקות ולעוסקים בחינוך התבוננות מחודשת על המציאות המוכרת. 
בשפה עשירה וקולחת יוצאים אנשי החינוך מיכל מולדבסקי וקובי זמיר למסע בחיים הבית ספריים. בצד ניתוח תיאורטי, הם מציעים כלים מעשיים שלמדו בעשרות שנות ניסיון ומדגימים כיצד יכולים סגלי החינוך להניע שינוי במעגלים הקטנים והגדולים שסביבם.
המפגש בין המבוגר לבין הילד הוא תכלית העשייה החינוכית. הספר הזה מזמין את כולנו לחזור אליו. בתשעה פרקים נצלול לעומקי המפגש וננסה להפוך אותו יחדיו למשמעותי יותר – עבור המורה ועבור התלמידים, דור העתיד של כולנו. 
*****
על הכותבים:
מיכל מולדבסקי - חוקרת במסלול לדוקטורט בבית הספר לחינוך באוניברסיטת תל אביב, בעלת קליניקה לייעוץ טיפולי ולהדרכת הורים. יועצת חינוכית, מרצת TED ואם לארבעה. 
קובי זמיר - מנהל אגף החינוך בעיריית גני תקווה ומנהל אקדמי של מרכזי העצמה בקריה האקדמית אונו. מורה, מחנך ומנהל בית ספר יסודי, חטיבת ביניים ותיכון. אב לשניים.
"
"
פולי שלוטרמוץ 2 הרפתקת פילי פלאים
",לוסי אסטנר,86.00 ₪,77.40 ₪,Not Available,39.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ראשית קריאה 
","
 תת תחום: 
 ראשית קריאה 
","
הספר השני בסדרה המשעשעת על פולי, הילדה בעלת לב הזהב ושיני הקסם. ספר קסום לנוער צעיר, כולל ניקוד עזר להקלת הקריאה!
אוּף-פּוּף! פּוֹלִי מתעוררת עם סְחַרחוֹרֶת נוראית, ועַד מְהֵרָה היא מבינה שנִיב חדש צָמַח לה בפֶּה. זמן קצר אַחַר כָּךְ מתברר לה שגם לשֵן הזאת יש כוחות-קסם - כי היא הופכת את אָבִיהָ, ממש בלי כוונה, לְפִיל! 
וזאת לא הבעיה הפּילית היחידה של פּוֹלִי: העֲטַלֵפוּף המְדַבֵּר שלה התאהב בפִילָה בשם רוֹבֶּרטָה, אבל מישהו מסתורי מנסה לפגוע בה – בדיוק כשהמורָה גוּמוֹנֶת רוכבת על גַבָּהּ! עֵין-הנֵץ מְיוּאָש לגמרי, ופולי מתגייסת לפעולה ביחד עם חברָהּ הטוב פָּאוּל. וזוהי רק תחילתה של הרפתקת פִּילֵי-פְּלָאִים...
"
"
קחי אותי איתך 2 קחי אותי 2
",קיי. איי. לינדי,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 אירוטי/אופל 
","
גרנט
חשבתי שההיכרות שלי עם ארי תציל אותי מכל מה שברחתי מפניו. חשבתי שבעזרתה אצליח להתמודד עם הכול, שבזכותה אתגבר על ההרגלים הרעים שעזרו לי לעבור תקופות קשות. חשבתי שהנסיכה שלי היא כל מה שאני צריך כדי לעלות על דרך המלך.
רציתי להאמין בזה בכל מאודי, אבל אולי טעיתי.

אריבל
גרנט ואני היינו הזוג הכי לא מתקבל על הדעת. הדרך שלנו זה אל זה מההתחלה הייתה מלאה מהמורות, אבל דווקא כשחשבתי שהגענו אל המנוחה והנחלה, התברר שהבעיות שלנו היו רחוקות מלהסתיים. בתקופה שהייתה אמורה להיות הכי מאושרת בחיינו, כל הגורמים הסובבים אותנו רק הערימו בדרכנו עוד ועוד קשיים ולא יכולתי שלא לתהות אם גרנט ואני נצליח אי פעם לשרוד יחד, או שפנינו היו מועדות לכישלון מההתחלה?

קחי אותי איתך מאת סופרת רבי המכר של עיתון ’יו־אס־איי טודיי’ קיי. איי. לינדי הוא סיפור על שני הפכים הנמשכים זה אל זה. על אף השקרים והעמדות הפנים הם מגלים שרב הנסתר על הנגלה, ושנפש האדם תמיד עמוקה יותר מכפי שנראה על פני השטח. 
זה הספר השני מתוך הדואט קחי אותי. הספר הראשון, קחי אותי כמו שאני, ראה גם הוא אור בהוצאת אדל. הספרים זכו להצלחה רבה בארצות הברית וכיכבו בראש רשימות רבי המכר.
"
"
בוא נחטא יחד 3 הרגלים רעים 3
",ג’יי.טי גייסינגר,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
אין לי כל זיכרון מהחיים שהיו לי לפני גיל שמונה־עשרה. הם נכחדו בתאונה שבה נהרגו הוריי. איכשהו שרדתי ומאז אני חיה את חיי כאילו כל יום הוא יומי האחרון, חיים שבהם אין מקום לסיבוכים מיותרים. עבודתי כמטפלת זוגית בבברלי הילס רק מחזקת אצלי את האמונה שאהבה מביאה בעיות, וברודי סקוט, הגיטריסט הסקסי והמסתורי של להקת הרגל רע, הוא ההגדרה של ’בעיות’ מבחינתי. המשיכה בינינו רוחשת על אש נמוכה כבר שנתיים, כל הזמן על סף פיצוץ, והסודות ששנינו מסתירים הם חומרים נפיצים ביותר. שנינו רוקדים על קצות האצבעות סביב הדבר שעלול להרוס את אותנו, אבל מה יתרחש כאשר הבלתי נמנע יקרה סוף־סוף ונתנגש? אני לא יודעת אם מישהו מאיתנו ישרוד את זה.
בוא נחטא יחד מאת סופרת רבי המכר ג’יי. טי. גייסינגר הוא ספר סוחף ומרגש על סודות שבכוחם להרוס, וסודות שבכוחם לבנות מחדש גם את ההריסות הנוראיות ביותר.
זה הספר השלישי בסדרת הרגלים רעים. ספרים נוספים בסדרה: מתוק כמו חטא ותגרום לי לחטוא. עוד ספרים מפרי עטה של הסופרת שראו אור בהוצאת אדל וזכו להצלחה רבה: מתכון לאסון, רוגבי ואומנות הפיתוי ועשרים ושש נשיקות.
"
"
אפקט הפעמון
",גל אמיר,98.00 ₪,88.20 ₪,Not Available,35.00 ₪,22.00 ₪,Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
חייו של עידו, סוחר עתיקות חיפאי, לא יהיו עוד כשהיו לפני שפתח את הארגז שרכש מעיזבונו של חייל רוסי זקן, מכובשי ברלין במלחמת העולם השנייה. בארגז נמצאה מעטפה עבה, סמל הנשר הנאצי מוטבע על גבה ובתוכה תוכניות סודיות. 
בניגוד לרצונו נאלץ עידו לנווט את דרכו במערבולת של פשע, ריגול ותשוקה, בשעה ששירותי הביטחון של ישראל, איראן והפדרציה הרוסית מנסים לשים את ידם על המעטפה.
האם אכן המדובר בתוכניות לנשק יום הדין, שובר שוויון ברמה הגלובלית? על מי יכול עידו לסמוך? על אסנת ההיסטוריונית מאוניברסיטת חיפה, שעימה ניהל רומן אסור לפני כעשר שנים, או על כרמל, מנהלת מעבדת המחשבים שתי קומות מעל משרדו? מי מהן סוכנת איראנית ומי סוכנת המשרד לעניינים אסטרטגיים של מדינת ישראל?
אפקט הפעמון הוא ספרו התשיעי של גל אמיר, מהאהובים והמוכרים בסופרי המתח בישראל. זהו ספר מתח וריגול המציג שוב, באמצעות הדמויות הייחודיות המופיעות בספריו, תמונה מדויקת, מותחת, משעשעת ונוגעת ללב.
ספר זה מתרחש ברובו בעיר התחתית בחיפה, וגיבוריו – סוחרי עתיקות ורכבים משומשים, מפעילי תחנת טוטו, האקרים של מחשבים, סוכנים חשאיים, שוטרים ומרגלים, הנמצאים כולם במרוץ קטלני אחר התוכניות הסודיות – ילוו את הקורא עוד זמן רב לאחר סיום הקריאה.
"
"
סולמות אופיר
",מאיר גז,0.00 ₪,96.00 ₪,Not Available,0.00 ₪,45.00 ₪,Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
אופיר לביא, נשוי ואב לשניים, בעל חברת אתרי אינטרנט ומערכות מידע, מודיע על התמודדותו לראשות העיר ”שדה שמיר” השוכנת בשרון. 
כנגד כל הסיכויים הוא יוצא למסע מאתגר ומתמודד מול ראש העיר המכהן, בעל הניסיון, האהוד בציבור ובקרב בעלי ההשפעה. הוא מבין שפרטיותו תיהפך כעת לנחלת הכלל ושעליו להיות יצירתי, מקורי, חד ונחוש כדי להגיע ליעדו.
עם תחילת הקמפיין נהרג עובד חברת ”אופיול” שבבעלותו ונפתחת חקירת משטרה על נסיבות מותו. אירועים טרגיים נוספים מתרחשים בזה אחד זה, ודומה כי בכל יום שעובר האמת חמקמקה ומתעתעת יותר. אופיר, המתמרן בין המסע לראשות העיר ובין משפחתו ושותפתו לחברה, שואל את עצמו מי מנהל את משחק הדמים הזה. ככל שהמשחק מהתל בו, כך מתעצמת שאיפתו להגשים את חלומו. 
”סולמות אופיר” הוא ספר מתח קצבי, מרתק ומפתיע, העוקב אחר המרוץ לראשות העיר של איש הנחוש בדעתו להביא לשיפור עירו, אך גם לטפס בסולם שאיפותיו, על אף התנגדותם של גורמים שונים ומסוכנים ובמקביל לחקירת משטרה המתפתחת לכיוונים בלתי צפויים. יש סודות שנחשפים, ויש שנקברים עמוק. הנפילה, הוא יודע, עלולה להיות כואבת מאוד. 
מאיר גז, משורר, מגשר ומנתח מערכות, יליד 1970, הוא מחבר הספרים ”מונדרה” (2018, הוצאת ”סגול”), ”סולו לשניים” (2020, ”סטימצקי”), ”קפה שחור ברכבת אקספרס” (2021, ”סטימצקי”) ואוסף השירים ”וגם אם חולמים אנחנו” (2020, ”סטימצקי”).
"
"
הגורם הבלתי סביר
",מיכל לוי שלו,98.00 ₪,88.20 ₪,Not Available,48.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
”התיק הזה מקולל,” אמר לבסוף בקול סדוק. ”כל מי שנוגע בו נפגע, מת... גם אני שילמתי מחיר אישי יקר. התקרבתי מדי, לא ראיתי דברים...”
איש לא שיער בנפשו שהסרקופג, ארון הקבורה הנדיר והיפהפה שקיבל מוזיאון בניו יורק בהשאלה מרשות העתיקות הישראלית, יטמון בחובו סוד אפל ומצמרר. במהלך שיקוף פשוט בשדה התעופה, נפתחת קופת שרצים של הסתרות ושקרים השולחים זרועות הרחק אל העבר. 
מיהי הגופה המסתורית בארון הקבורה המרהיב, וכיצד הגיעה לשם? 
מה שמתחיל עבור רב פקד שולי ברזני, ראש הצוות ביאחב”ל, כהסחת דעת מחקירת פשע מאורגן, הופך עד מהרה לתעלומה מסובכת ותובענית. ראיות שהתקררו זה מכבר, כתבי חידה עתיקים, מאבקי אגו ויוקרה ואמיתות היסטוריות המבקשות לראות אור, אך מוסתרות היטב תחת תלי־תלים של הטעיות; כמרים, אקדמאים, הוזים ומטורפים, נזירות, שודדי עתיקות ובחורה אחת צופנת סוד — כולם מציפים ומסחררים את שולי וצוותו. ככל שהחקירה מתקדמת ושולי מתקרב עד כדי אובדן האובייקטיביות, כמעט, נדמה שהסרקופג על רזיו הרבים, רק הולך ומתרחק ממנו... 
הגורם הבלתי סביר, הספר השני בעלילותיו של רב פקד שולי ברזני, הזאב הבודד והרגיש, המכור לעבודתו ביאחב”ל, ניחן בעלילה קצבית, מקורית ומפתיעה. לוי־שלו ממשיכה לשרטט ביד יציבה ובוטחת עלילת מתח נפתלת, הנטועה היטב במציאות הישראלית, אך בה בעת מרחיקה עוף אל מעבר לזמן ולמקום, ומגלה שכולנו, בני האדם, רק פיונים במשחק האקראי והגדול שנקרא ”החיים”. 
מיכל לוי-שלו נולדה בתל אביב וגדלה בשכונת מעוז אביב. בתחילת שנות השמונים סיימה לימודי עיצוב טקסטיל ב”שנקר” ועבדה שנים כמעצבת. הגורם הבלתי סביר הוא ספרה השני; קדם לו
ידי הכובסת, המגולל אף הוא את עלילותיו של שולי ברזני, וראה גם הוא אור בהוצאת כנרת, זמורה, דביר.
"
"
את אוהבת אותי
",קרוליין קפנס,98.00 ₪,88.20 ₪,Not Available,49.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
ג’ו גולדברג רוצה להקים משפחה, גם אם זה יהרוג אותו...
ג’ו גולדברג גמר עם ערים גדולות. גמר עם כל הלכלוך וההתחזוּת. גמר עם האהבה. עכשיו הוא מתיידד עם הטבע, עם ההנאות הפשוטות של החיים, באי נעים ורגוע בצפון־מערב האוקיינוס השקט. לראשונה זה זמן רב הוא יכול פשוט לנשום.
אלא שאז הוא מקבל עבודה בספרייה הציבורית - הוא הרי יודע דבר או שניים על ספרים. ושם הוא פוגש אותה: מרי קיי די־מרקו. סַפרנית. הפעם ג’ו לא ידחף את האף, לא יהיה אובססיבי. הוא יזכה בה בדרך הטובה והמיושנת... ייתן לה כתף לבכות עליה, יושיט יד תומכת. עם הזמן שניהם יירפאו מפצעיהם, והם יחיו באושר, בעיירה הקטנה והמנומנמת הזו.
הצרה היא... שלמרי קיי כבר יש חיים. היא אמא. היא חבֵרה. היא... עסוקה.
אהבה אמיתית יכולה לנצח רק אם שני בני הזוג מוכנים לפַנות מקום לדבר האמיתי. ג’ו פינה את השטח שלו. הוא מוכן. מחכה. מקווה שעם העידוד והתמיכה הבלתי פוסקים שלו, מרי קיי תעשה את הצעד הנכון - תתפנה אליו.
קרוליין קפנס היא עיתונאית ותסריטאית שעבדה בחנות ספרים בקייפ קוד, שם קראה לראשונה את ”לוליטה”. כמה שנים אחר כך כתבה את המותחן הזדוני, האפל והחינני אַת, שתורגם ל־19 שפות ועובד לסדרת טלוויזיה. את אוהבת אותי מעובד לסדרת טלוויזיה בנטפליקס זו העונה הרביעית. 
קפנס חיה בלוס אנג’לס ונמנעת ככל האפשר ממחטים ומכבישים מהירים.
”אפל ומבריק! קרוליין קפנס היא סוג של מכשפת סיפורים!”
הניו יורק טיימס

״את אוהבת אותי מצחיק פי כמה מאת... חלק ממקרי המוות הם, בלשון המעטה, מטורפים לחלוטין.” הבוק־פייג’־רווי
"
